from,to,value,type,lng1,lat1,lng2,lat2
aa,bb,1.00,move_in,113.9097928,22.52112796,114.0707794,22.67989758
aa,bb,1.00,move_in,114.0523628,22.54617413,114.409711,22.74379802
aa,bb,1.00,move_in,113.9097928,22.52112796,113.9239757,22.59054592
aa,bb,1.00,move_in,113.9469187,22.53010452,114.0461313,22.64989114
aa,bb,1.00,move_in,94.49115076,29.58034769,113.9487563,22.55443829
aa,bb,1.00,move_in,113.5549619,22.11917602,113.9487563,22.55443829
aa,bb,1.00,move_in,116.3655618,39.92771045,114.0850672,22.55442457
aa,bb,1.00,move_in,121.2703823,28.63775066,113.8827512,22.80474499
aa,bb,1.00,move_in,114.0017676,22.68967261,114.0017676,22.68967261
aa,bb,1.00,move_in,121.4113122,31.8682545,114.3476957,22.65746229
aa,bb,1.00,move_in,114.0555928,22.55173057,113.8948837,22.61573794
aa,bb,1.00,move_in,113.9587579,22.54251918,113.9507227,22.55888775
aa,bb,1.00,move_in,103.5294669,30.71964092,113.8209373,22.75585822
aa,bb,1.00,move_in,114.0725905,22.635977,114.0725905,22.635977
aa,bb,1.00,move_in,114.0971953,22.57068936,113.9462958,22.53113144
aa,bb,1.00,move_in,120.3628117,30.31232884,114.0707794,22.67989758
aa,bb,1.00,move_in,114.0038268,22.69050965,114.0039348,22.69052095
aa,bb,1.00,move_in,114.0644643,22.51115789,114.0644643,22.51115789
aa,bb,1.00,move_in,113.8948837,22.61573794,113.8972147,22.60884666
aa,bb,1.00,move_in,114.0617867,22.54362041,113.9097928,22.52112796
aa,bb,1.00,move_in,113.9544597,22.54481318,113.9097928,22.52112796
aa,bb,1.00,move_in,113.9880984,22.55701039,113.9880984,22.55701039
aa,bb,1.00,move_in,121.5986774,31.25062944,113.9273613,22.50481527
aa,bb,1.00,move_in,113.9485508,22.73181259,113.9541845,22.77805193
aa,bb,1.00,move_in,113.9097928,22.52112796,113.9507227,22.55888775
aa,bb,1.00,move_in,120.0037158,30.29570198,113.950661,22.53979403
aa,bb,1.00,move_in,113.9273372,22.50483809,113.9273372,22.50483809
aa,bb,1.00,move_in,113.9137988,22.51833547,113.8723515,22.57437347
aa,bb,1.00,move_in,114.0650265,22.57656002,113.9254892,22.5897395
aa,bb,1.00,move_in,114.0894525,22.54939545,113.9254892,22.5897395
aa,bb,1.00,move_in,114.125916,22.681282,114.125916,22.681282
aa,bb,1.00,move_in,116.282374,39.95717828,114.0883639,22.55048552
aa,bb,1.00,move_in,113.5549619,22.11917602,113.9435319,22.52875986
aa,bb,1.00,move_in,114.0467282,22.54523226,114.059716,22.52623964
aa,bb,1.00,move_in,113.9273174,22.57996895,114.0449922,22.62984341
aa,bb,1.00,move_in,116.2970828,40.05285313,113.9312411,22.58109523
aa,bb,1.00,move_in,113.9187048,22.58160619,113.9187048,22.58160619
aa,bb,1.00,move_in,118.7225227,32.0063852,113.9507227,22.55888775
aa,bb,1.00,move_in,116.7563415,23.44098777,114.0661347,22.61059702
aa,bb,1.00,move_in,119.0900628,33.58380724,113.9643188,22.54424213
aa,bb,1.00,move_in,113.9351354,22.53122051,113.9643188,22.54424213
aa,bb,1.00,move_in,113.9529967,22.54049829,114.0010815,22.66868784
aa,bb,1.00,move_in,113.950304,22.53889394,113.950304,22.53889394
aa,bb,1.00,move_in,118.6804595,24.95689689,114.0987154,22.55722208
aa,bb,1.00,move_in,114.1210144,22.54860459,114.042019,22.5318211
aa,bb,1.00,move_in,114.0622523,22.56892983,114.0724051,22.67978072
aa,bb,1.00,move_in,113.9097928,22.52112796,114.0680406,22.6792183
aa,bb,1.00,move_in,116.3469993,39.9543375,113.9507227,22.55888775
aa,bb,1.00,move_in,112.9943618,28.18754498,113.9594392,22.53583149
aa,bb,1.00,move_in,114.0305671,22.5361122,114.0305671,22.5361122
aa,bb,1.00,move_in,114.2608015,22.72232107,114.2608015,22.72232107
aa,bb,1.00,move_in,121.8131296,30.91699588,114.3476957,22.65746229
